int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
23,0,1,0,0,20,0,0,20,0,0,8692,0,0,0,0,"Poison de distraction mentale II",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
24,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,"+5 aux points de mana",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
25,0,1,0,0,15,0,0,15,0,0,705,0,0,0,0,"Huile des ténèbres",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,1,0,0,0,0,0,0
26,0,1,0,0,10,0,0,10,0,0,205,0,0,0,0,"Huile glaciale",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,27,0,0,0,0,0,0
27,0,2,0,0,-10,0,0,-10,0,0,0,0,0,0,0,"Fractionnement",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
28,0,3,0,0,0,0,0,0,0,0,7438,0,0,0,0,"+4 à toutes les résistances",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
29,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,"Croque-roc 1",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,61,9,0,0,0,0,0
30,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,"Lunette (+1 point de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,5
31,0,3,0,0,0,0,0,0,0,0,7433,0,0,0,0,"+4 Tueur de bêtes",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
32,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,"Lunette (+2 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,10
33,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,"Lunette (+3 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,1,0,0,0,0,20
34,0,5,0,0,20,0,0,20,0,0,36,0,0,0,0,"Contrepoids (+20 au score de hâte)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
35,0,1,0,0,50,0,0,50,0,0,5760,0,0,0,0,"Poison de Distraction mentale",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
36,0,1,0,0,15,0,0,15,0,0,6297,0,0,0,0,"Enchanter : Eclat flamboyant",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
37,0,3,0,0,0,0,0,0,0,0,43588,0,0,0,0,"Dragonne en acier",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
38,0,5,0,0,5,0,0,5,0,0,12,0,0,0,0,"+5 au score de défense",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
39,0,3,0,0,0,0,0,0,0,0,26596,0,0,0,0,"Aiguisé (+1 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
40,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,"Aiguisé (+2 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,28,0,0,0,0,0,0
41,0,5,0,0,5,0,0,5,0,0,1,0,0,0,0,"+5 points de vie",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
42,0,1,0,0,10,0,0,30,0,0,6647,0,0,0,0,"Poison (Instantané 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
43,0,3,0,0,0,0,0,0,0,0,9784,0,0,0,0,"Pointe en fer (8-12)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
44,0,3,0,0,0,0,0,0,0,0,7445,0,0,0,0,"Absorption (10)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
63,0,3,0,0,0,0,0,0,0,0,7446,0,0,0,0,"Absorption (25)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
64,0,5,0,0,3,0,0,3,0,0,6,0,0,0,0,"+3 Esprit",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
65,0,3,0,0,0,0,0,0,0,0,7452,0,0,0,0,"+1 à toutes les résistances",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
66,0,5,0,0,1,0,0,1,0,0,7,0,0,0,0,"+1 Endurance",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
67,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,"+1 point de dégâts",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
68,0,5,0,0,1,0,0,1,0,0,4,0,0,0,0,"+1 Force",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
69,0,5,0,0,2,0,0,2,0,0,4,0,0,0,0,"+2 Force",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
70,0,5,0,0,3,0,0,3,0,0,4,0,0,0,0,"+3 Force",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
71,0,5,0,0,1,0,0,1,0,0,7,0,0,0,0,"+1 Endurance",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
72,0,5,0,0,2,0,0,2,0,0,7,0,0,0,0,"+2 Endurance",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
73,0,5,0,0,3,0,0,3,0,0,7,0,0,0,0,"+3 Endurance",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
74,0,5,0,0,1,0,0,1,0,0,3,0,0,0,0,"+1 Agilité",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
75,0,5,0,0,2,0,0,2,0,0,3,0,0,0,0,"+2 Agilité",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
76,0,5,0,0,3,0,0,3,0,0,3,0,0,0,0,"+3 Agilité",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
77,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,"+2 points de dégâts",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
78,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,"+3 points de dégâts",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
79,0,5,0,0,1,0,0,1,0,0,5,0,0,0,0,"+1 Intelligence",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
80,0,5,0,0,2,0,0,2,0,0,5,0,0,0,0,"+2 Intelligence",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
81,0,5,0,0,3,0,0,3,0,0,5,0,0,0,0,"+3 Intelligence",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
82,0,5,0,0,1,0,0,1,0,0,6,0,0,0,0,"+1 Esprit",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
83,0,5,0,0,2,0,0,2,0,0,6,0,0,0,0,"+2 Esprit",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
84,0,5,0,0,3,0,0,3,0,0,6,0,0,0,0,"+3 Esprit",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
85,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,"+3 Armure",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
86,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,"+8 Armure",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
87,0,4,0,0,12,0,0,12,0,0,0,0,0,0,0,"+12 Armure",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188,0,0,0,0,0,0,0
89,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,"+16 Armure",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
90,0,5,0,0,4,0,0,4,0,0,3,0,0,0,0,"+4 Agilité",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
91,0,5,0,0,5,0,0,5,0,0,3,0,0,0,0,"+5 Agilité",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
92,0,5,0,0,6,0,0,6,0,0,3,0,0,0,0,"+6 Agilité",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
93,0,5,0,0,7,0,0,7,0,0,3,0,0,0,0,"+7 Agilité",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
94,0,5,0,0,4,0,0,4,0,0,5,0,0,0,0,"+4 Intelligence",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
95,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,"+5 Intelligence",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
96,0,5,0,0,6,0,0,6,0,0,5,0,0,0,0,"+6 Intelligence",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
97,0,5,0,0,7,0,0,7,0,0,5,0,0,0,0,"+7 Intelligence",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
98,0,5,0,0,4,0,0,4,0,0,6,0,0,0,0,"+4 Esprit",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
99,0,5,0,0,5,0,0,5,0,0,6,0,0,0,0,"+5 Esprit",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
100,0,5,0,0,6,0,0,6,0,0,6,0,0,0,0,"+6 Esprit",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
101,0,5,0,0,7,0,0,7,0,0,6,0,0,0,0,"+7 Esprit",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
102,0,5,0,0,4,0,0,4,0,0,7,0,0,0,0,"+4 Endurance",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
103,0,5,0,0,5,0,0,5,0,0,7,0,0,0,0,"+5 Endurance",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
104,0,5,0,0,6,0,0,6,0,0,7,0,0,0,0,"+6 Endurance",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
105,0,5,0,0,7,0,0,7,0,0,7,0,0,0,0,"+7 Endurance",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
106,0,5,0,0,4,0,0,4,0,0,4,0,0,0,0,"+4 Force",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
107,0,5,0,0,5,0,0,5,0,0,4,0,0,0,0,"+5 Force",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
108,0,5,0,0,6,0,0,6,0,0,4,0,0,0,0,"+6 Force",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
109,0,5,0,0,7,0,0,7,0,0,4,0,0,0,0,"+7 Force",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
110,0,5,0,0,1,0,0,1,0,0,12,0,0,0,0,"+1 au score de défense",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
111,0,5,0,0,2,0,0,2,0,0,12,0,0,0,0,"+2 au score de défense",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
112,0,5,0,0,3,0,0,3,0,0,12,0,0,0,0,"+3 au score de défense",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
113,0,5,0,0,4,0,0,4,0,0,12,0,0,0,0,"+4 au score de défense",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
114,0,5,0,0,5,0,0,5,0,0,12,0,0,0,0,"+5 au score de défense",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
115,0,5,0,0,6,0,0,6,0,0,12,0,0,0,0,"+6 au score de défense",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
116,0,5,0,0,7,0,0,7,0,0,12,0,0,0,0,"+7 au score de défense",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
117,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,"+4 points de dégâts",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
118,0,2,0,0,5,0,0,5,0,0,0,0,0,0,0,"+5 points de dégâts",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
119,0,2,0,0,6,0,0,6,0,0,0,0,0,0,0,"+6 points de dégâts",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
120,0,2,0,0,7,0,0,7,0,0,0,0,0,0,0,"+7 points de dégâts",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
121,0,4,0,0,20,0,0,20,0,0,0,0,0,0,0,"+20 Armure",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
122,0,4,0,0,24,0,0,24,0,0,0,0,0,0,0,"+24 Armure",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
123,0,4,0,0,28,0,0,28,0,0,0,0,0,0,0,"+28 Armure",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
124,0,1,0,0,100,0,0,100,0,0,8253,0,0,0,0,"Totem Langue de feu 1",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,32,7,0,0,0,0,0
125,0,3,0,0,0,0,0,0,0,0,7520,0,0,0,0,"+1 à la compétence Epée",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
126,0,3,0,0,0,0,0,0,0,0,7522,0,0,0,0,"+2 à la compétence Epée",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
127,0,3,0,0,0,0,0,0,0,0,7523,0,0,0,0,"+3 à la compétence Epée",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
128,0,3,0,0,0,0,0,0,0,0,7524,0,0,0,0,"+4 à la compétence Epée",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
129,0,3,0,0,0,0,0,0,0,0,7525,0,0,0,0,"+5 à la compétence Epée",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
130,0,3,0,0,0,0,0,0,0,0,7526,0,0,0,0,"+6 à la compétence Epée",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
131,0,3,0,0,0,0,0,0,0,0,7527,0,0,0,0,"+7 à la compétence Epée",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
132,0,3,0,0,0,0,0,0,0,0,7529,0,0,0,0,"+1 à la compétence Epée à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
133,0,3,0,0,0,0,0,0,0,0,7561,0,0,0,0,"+2 à la compétence Epée à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
134,0,3,0,0,0,0,0,0,0,0,7562,0,0,0,0,"+3 à la compétence Epée à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
135,0,3,0,0,0,0,0,0,0,0,7563,0,0,0,0,"+4 à la compétence Epée à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
136,0,3,0,0,0,0,0,0,0,0,7564,0,0,0,0,"+5 à la compétence Epée à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
137,0,3,0,0,0,0,0,0,0,0,7565,0,0,0,0,"+6 à la compétence Epée à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
138,0,3,0,0,0,0,0,0,0,0,7566,0,0,0,0,"+7 à la compétence Epée à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
139,0,3,0,0,0,0,0,0,0,0,7532,0,0,0,0,"+1 à la compétence Masse",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
140,0,3,0,0,0,0,0,0,0,0,7543,0,0,0,0,"+2 à la compétence Masse",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
141,0,3,0,0,0,0,0,0,0,0,7544,0,0,0,0,"+3 à la compétence Masse",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
142,0,3,0,0,0,0,0,0,0,0,7545,0,0,0,0,"+4 à la compétence Masse",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
143,0,3,0,0,0,0,0,0,0,0,7546,0,0,0,0,"+5 à la compétence Masse",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
144,0,3,0,0,0,0,0,0,0,0,7547,0,0,0,0,"+6 à la compétence Masse",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
145,0,3,0,0,0,0,0,0,0,0,7548,0,0,0,0,"+7 à la compétence Masse",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
146,0,3,0,0,0,0,0,0,0,0,7533,0,0,0,0,"+1 à la compétence Masse à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
147,0,3,0,0,0,0,0,0,0,0,7555,0,0,0,0,"+2 à la compétence Masse à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
148,0,3,0,0,0,0,0,0,0,0,7556,0,0,0,0,"+3 à la compétence Masse à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
149,0,3,0,0,0,0,0,0,0,0,7557,0,0,0,0,"+4 à la compétence Masse à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
150,0,3,0,0,0,0,0,0,0,0,7558,0,0,0,0,"+5 à la compétence Masse à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
151,0,3,0,0,0,0,0,0,0,0,7559,0,0,0,0,"+6 à la compétence Masse à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
152,0,3,0,0,0,0,0,0,0,0,7560,0,0,0,0,"+7 à la compétence Masse à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
153,0,3,0,0,0,0,0,0,0,0,7530,0,0,0,0,"+1 à la compétence Hache",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
154,0,3,0,0,0,0,0,0,0,0,7537,0,0,0,0,"+2 à la compétence Hache",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
155,0,3,0,0,0,0,0,0,0,0,7538,0,0,0,0,"+3 à la compétence Hache",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
156,0,3,0,0,0,0,0,0,0,0,7539,0,0,0,0,"+4 à la compétence Hache",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
157,0,3,0,0,0,0,0,0,0,0,7540,0,0,0,0,"+5 à la compétence Hache",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
158,0,3,0,0,0,0,0,0,0,0,7541,0,0,0,0,"+6 à la compétence Hache",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
159,0,3,0,0,0,0,0,0,0,0,7542,0,0,0,0,"+7 à la compétence Hache",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
160,0,3,0,0,0,0,0,0,0,0,7549,0,0,0,0,"+1 à la compétence Hache à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
161,0,3,0,0,0,0,0,0,0,0,7531,0,0,0,0,"+2 à la compétence Hache à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
162,0,3,0,0,0,0,0,0,0,0,7550,0,0,0,0,"+3 à la compétence Hache à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
163,0,3,0,0,0,0,0,0,0,0,7551,0,0,0,0,"+4 à la compétence Hache à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
164,0,3,0,0,0,0,0,0,0,0,7552,0,0,0,0,"+5 à la compétence Hache à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
165,0,3,0,0,0,0,0,0,0,0,7553,0,0,0,0,"+6 à la compétence Hache à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
166,0,3,0,0,0,0,0,0,0,0,7554,0,0,0,0,"+7 à la compétence Hache à deux mains",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
167,0,3,0,0,0,0,0,0,0,0,7534,0,0,0,0,"+1 à la compétence Dague",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
168,0,3,0,0,0,0,0,0,0,0,7573,0,0,0,0,"+2 à la compétence Dague",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
169,0,3,0,0,0,0,0,0,0,0,7574,0,0,0,0,"+3 à la compétence Dague",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
170,0,3,0,0,0,0,0,0,0,0,7575,0,0,0,0,"+4 à la compétence Dague",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
171,0,3,0,0,0,0,0,0,0,0,7576,0,0,0,0,"+5 à la compétence Dague",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
172,0,3,0,0,0,0,0,0,0,0,7577,0,0,0,0,"+6 à la compétence Dague",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
173,0,3,0,0,0,0,0,0,0,0,7578,0,0,0,0,"+7 à la compétence Dague",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
174,0,3,0,0,0,0,0,0,0,0,7536,0,0,0,0,"+1 à la compétence Arme à feu",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
